id;company;calc_type;calc_value;unit;threshold_type;threshold_value;threshold_unit;thresholds_all;thresholds_count;treatment_stop;adverse_effects;treatment_failure;cotreatments;cashback_extract
1565;Roche Pharma (Suisse) SA;chf_fixed;0.85;per_mg;;;;;0;0;0;1;"[""AVASTIN""]";Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1576;Roche Pharma (Suisse) SA;full_refund_pex;;per_box;;;;;0;0;0;0;"[""KADCYLA""]";Le titulaire de l'autorisation, Roche Pharma (Suisse) SA, rembourse à l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, et sur demande de celui-ci, une part définie du prix départ usine pour chaque boîte de KADCYLA achetée pour le traitement adjuvant.
1577;Novartis Pharma Suisse SA;percentage;19.51;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Novartis Pharma Suisse SA rembourse à l’assureur-maladie chaque boite de Mekinist achetée (indicateur d’un cycle de traitement) pour l’association avec Tafinlar au taux de 19,51% sur le prix de fabrique par boîte. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1578;La société Novartis Pharma Schweiz AG;percentage;44.93;per_box;;;;;0;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";La société Novartis Pharma Schweiz AG rembourse l’assureur maladie auprès duquel la personne était assurée au moment de la réception du traitement, sur demande de ce dernier, un pourcentage de 44,93% sur le prix départ usine de chaque boîte de Mekinist achetée et un pourcentage de 31,58% sur le prix départ usine de chaque boîte de Tafinlar achetée. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de cette réduction sur le prix de fabrication. La demande de remboursement doit normalement être faite dans les 3 mois suivant l’administration.
1580;Amgen Switzerland AG;chf_fixed;0.85;per_mg;;;;;0;0;0;1;"[""MVASI""]";Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Amgen Switzerland AG rembourse pour le traitement Fr. 0.85 par mg de MVASI. En cas de prescription médicale appropriée, MVASI est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1586;La société Alexion Pharma GmbH;percentage;10.0;per_box;;;;;0;0;0;0;"[""SOLIRIS""]";La société Alexion Pharma GmbH rembourse, dans le cadre du traitement contre le SHUa par Soliris, à la demande de l’assurance maladie auprès de laquelle la personne était assurée au moment de l'achat, 10% du prix de vente départ usine pour chaque paquet de Soliris acheté. La TVA ne peut pas être réclamée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l'administration.
1587;Biogen Switzerland SA;unknown;;unknown;;;;;0;0;0;0;"[""SPINRAZA""]";La titulaire de l’autorisation Biogen Switzerland SA rembourse à l’assureur-maladie auprès duquel la personne était assurée au moment de la remise du médicament, dès la première demande de l’assurance, une part convenue du prix de fabrique de chaque emballage remis de SPINRAZA. Si le traitement par SPINRAZA commence après l’âge de 20 ans, la titulaire de l’autorisation Biogen Switzerland SA rembourse une part convenue du prix de fabrique supplémentaire, dans le cadre des doses de charge au debout du traitement.
1588;Novartis Pharma Suisse SA;percentage;19.51;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Novartis Pharma Suisse SA rembourse à l’assureur-maladie chaque boite de Mekinist achetée (indicateur d’un cycle de traitement) pour l’association avec Tafinlar au taux de 19,51% sur le prix de fabrique par boîte. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1589;La société Novartis Pharma Schweiz AG;percentage;44.93;per_box;;;;;0;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";La société Novartis Pharma Schweiz AG rembourse l’assureur maladie auprès duquel la personne était assurée au moment de la réception du traitement, sur demande de ce dernier, un pourcentage de 44,93% sur le prix départ usine de chaque boîte de Mekinist achetée et un pourcentage de 31,58% sur le prix départ usine de chaque boîte de Tafinlar achetée. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de cette réduction sur le prix de fabrication. La demande de remboursement doit normalement être faite dans les 3 mois suivant l’administration.
1590;AstraZeneca AG;amount_unspecified;;unknown;;;;;0;0;0;0;;Dans cette indication, AstraZeneca AG remboursera un montant fixe du prix ex factory du traitement à la demande de l'assureur maladie auprès duquel le patient était assuré au moment de l’administration du traitement. La TVA ne peut pas être réclamée en sus de ce montant du prix ex factory.
1591;AstraZeneca AG;amount_unspecified;;unknown;;;;;0;0;0;0;;Dans cette indication, AstraZeneca AG remboursera un montant fixe du prix ex factory du traitement à la demande de l'assureur maladie auprès duquel le patient était assuré au moment de l’administration du traitement. La TVA ne peut pas être réclamée en sus de ce montant du prix ex factory.
1600;Janssen-Cilag AG;cost_refund;;unknown;not_beyond;4;weeks;"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]";1;0;0;0;"[""DARZALEX""]";Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.
1635;Amgen Switzerland AG;chf_fixed;0.64;per_mg;;;;;0;0;0;1;"[""MVASI""]";Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Amgen Switzerland AG rembourse pour le traitement Fr. 0.64 par mg de MVASI. En cas de prescription médicale appropriée, MVASI est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1653;Vifor SA;unknown;;per_month;dose_above;16;;"[{""type"": ""dose_above"", ""value"": 16, ""unit"": null, ""match"": ""dose supérieure à 16""}]";1;0;0;0;"[""VELTASSA""]";"VELTASSA est remboursé par la caisse-maladie, après consultation préalable du médecin-conseil et garantie de prise en charge des coûts, pour les adultes non dialysés présentant une insuffisance rénale chronique (le début du traitement doit être au stade III ou IV de l’insuffisance rénale; taux de filtration glomérulaire inférieur à 60 ml/min/1.73 m²), ayant développé, au cours d’un traitement avec un inhibiteur du système rénine-angiotensine-aldostérone, une hyperkaliémie chronique récurrente et constatée par des mesures répétées, et auxquels des échangeurs de cations doivent être administrés car les mesures non médicamenteuses (régime alimentaire) ainsi que les mesures médicamenteuses déjà employées (p. ex. diurétiques hypokaliémiants) n’ont pas été suffisantes pour normaliser le taux de potassium (< 5.5 mmol/l). La première prescription de VELTASSA doit être établie uniquement par un cardiologue ou un néphrologue. Le remboursement concerne, au maximum, une boîte de VELTASSA dosée à 8.4 g ou 16.8 g par mois. Si un patient a besoin d’une dose supérieure à 16.8 g par jour, Vifor SA remboursera à la caisse-maladie le prix public de la deuxième boîte, déduction faite de la T.V.A."
1654;Pfizer AG;chf_fixed;0.64;per_mg;;;;;0;0;0;1;"[""ZIRABEV""]";Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Pfizer AG rembourse pour le traitement Fr. 0.64 par mg de Zirabev. En cas de prescription médicale appropriée, Zirabev est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1658;Roche Pharma (Suisse) SA;full_refund_pex;;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""ZELBORAF"", ""COTELLIC""]";Sur demande de l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, Roche Pharma (Suisse) SA rembourse à l’assureur-maladie, pour chaque boîte de COTELLIC achetée pour le traitement associant ZELBORAF et COTELLIC (= indicateur pour un cycle de traitement), un pourcentage fixe du prix départ usine de la boîte de COTELLIC.
1671;;percentage;10.0;unknown;after_months;12;months;"[{""type"": ""after_months"", ""value"": 12, ""unit"": ""months"", ""match"": ""après 12 mois""}, {""type"": ""min_months"", ""value"": 6, ""unit"": ""months"", ""match"": ""au moins 6 mois""}, {""type"": ""from_nth"", ""value"": 6, ""unit"": ""months"", ""match"": ""des 6 mois""}, {""type"": ""within_first"", ""value"": 3, ""unit"": ""months"", ""match"": ""dans les 3 mois""}]";4;1;1;1;"[""SOLIRIS"", ""ULTOMIRIS"", ""ARAVA""]";"Avant le début du traitement, une garantie de prise en charge par l’assurance maladie est nécessaire après discussion avec le médecin-conseil. Ultomiris est utilisé pour le traitement des patients adultes (à partir de leur 18e année) atteints d’hémoglobinurie paroxystique nocturne (HPN): • &nbsp chez des patients qui n’ont pas été traités auparavant par des inhibiteurs du complément et qui présentent une hémolyse associée à un ou plusieurs symptômes cliniques indiquant une activité élevée de la maladie. &nbsp Une activité élevée de la maladie est définie comme suit: valeur de la LDH ≥ 1,5 × LSN (limite supérieure de la normale) [LSN du taux de LDH: 246 U/l] et présence, dans les 3 mois précédent le traitement, de l’un ou de plusieurs des signes ou symptômes suivants causés par l’HPN: fatigue, hémoglobinurie, douleurs abdominales, essoufflement (dyspnée), anémie (hémoglobine < 10 g/dl), événement vasculaire indésirable grave antérieur (y compris thrombose), dysphagie ou trouble de l'érection; ou antécédents de transfusion de concentré érythrocytaire due à l’HPN. • &nbsp chez les patients qui sont cliniquement stables après avoir été traités par éculizumab pendant au moins 6 mois. &nbsp La stabilité clinique est définie par une valeur de la LDH ≤ 1,5 x LSN [LSN du taux de LDH : 246 U/l] ainsi qu’aucune valeur de la LDH > 2 x LSN au cours des 6 mois précédents et aucun événement indésirable cardiovasculaire grave au cours des 6 mois précédents. &nbsp Si, après un traitement préalable à l’éculizumab, une forte activité de la maladie persiste, ULTOMIRIS n'est pas remboursé. Tous les patients traités par ULTOMIRIS doivent être inscrits dans un registre (le traitement ne peut commencer qu'après confirmation de l'inclusion du patient dans le registre, un extrait de la saisie des données du patient dans le registre est à présenter avec la demande de prise en charge). Si un patient refuse de donner le consentement écrit nécessaire à la collecte de ses données, cela doit faire l’objet d’un rapport. L’indication pour le traitement et les contrôles des patients dans le cadre de la tenue du registre ne peut s’effectuer que dans les centres universitaires ou les hôpitaux cantonaux d’Aarau, Bellinzone, Lucerne, Coire et Saint-Gall. L’administration du traitement d’ULTOMIRIS entre ces contrôles peut se réaliser dans un hôpital local. Le médecin du centre chargé du traitement transmet en permanence les données nécessaires à l'aide de l'outil Internet déterminé par le Registre de Remboursements Soliris Suisse (SSRR). Ce registre est utilisé pour tous les patients traités par SOLIRIS et ULTOMIRIS. L’OFSP peut en consulter les données à tout moment et reçoit tous les 12 mois un rapport de synthèse. Le centre est tenu d'enregistrer au minimum les données suivantes pour le registre ULTOMIRIS: 1) Saisie des données anonymisées du patient avec pose de l’indication de l’hémoglobinurie paroxystique nocturne (HPN), y compris l'année de naissance, le sexe et le poids. 2) Avant le début du traitement, l'état actuel doit être documenté. L’HPN doit être confirmée par un dosage d’au minimum 10% de clones HPN. Les patients doivent être préalablement vaccinés contre les méningocoques. 3) A 3 mois puis à 6 et 12 mois après le début du traitement, il convient d'enregistrer la réponse thérapeutique (paramètres hématologiques, taux de LDH, symptômes d'HPN comme douleurs abdominales, douleurs thoraciques, dyspnée et douleurs exigeant une intervention médicale, performances selon une échelle de «qualité de vie», besoin de transfusions, événements thrombotiques, survenue d'insuffisance rénale et hypertension artérielle pulmonaire), ainsi que la date de l'examen. Le dosage et la fréquence posologique d’ULTOMIRIS doivent figurer dans le registre. Dès la 2e année de traitement, les contrôles s'effectuent tous les 6 mois, soit pour la 2e année 18 et 24 mois après le début du traitement. 4) À la fin du traitement, il convient d’en indiquer la raison. Les patients dont la réponse thérapeutique est insuffisante doivent arrêter le traitement. Une réponse thérapeutique est considérée comme atteinte si une réduction de la LDH d’au moins 60% et une amélioration d’un des paramètres cliniques sont observées chez le patient traité. En cas de réponse insatisfaisante, le médecin traitant doit indiquer, sur la base de l'évolution clinique, pour quelle raison la poursuite du traitement est indiquée. Après 12 mois de traitement, le besoin de transfusions doit avoir été réduit. 5) La garantie de prise en charge doit être renouvelée chaque année. 6) Calcul du prix public sur la base du prix départ usine auquel s'ajoutent CHF 40.- en raison du caractère particulier de la distribution (pratiquement pas de commerce intermédiaire, comme pour les produits sanguins), TVA en sus."
1672;Roche Pharma (Suisse) SA;full_refund_pex;;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""ZELBORAF"", ""COTELLIC""]";Sur demande de l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, l’entreprise Roche Pharma (Suisse) SA rembourse à l’assureur-maladie, pour chaque boîte de COTELLIC achetée pour le traitement associant ZELBORAF et COTELLIC (= indicateur pour un cycle de traitement), un pourcentage fixe du prix départ usine de la boîte de COTELLIC.
1688;Janssen-Cilag AG;cost_refund;;unknown;not_beyond;4;weeks;"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]";1;0;0;0;"[""DARZALEX""]";Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.
1694;Medius AG;unknown;;unknown;;;;;0;0;0;0;"[""LATUDA""]";Si le coût du traitement des épisodes dépressifs dans le cadre d’un trouble bipolaire de type 1 est doublé en raison d'un ajustement de la dose à 60 mg (20 mg + 40 mg), Medius AG remboursera, sur la base du prix de fabrique, les coûts respectifs des emballages de Latuda 20 mg à l'assureur maladie auprès duquel la personne était assurée au moment de l’achat. La TVA ne peut pas être exigée en plus du prix de fabrique.
1701;AbbVie AG;percentage;4.2;per_box;;;;;0;0;0;0;"[""VENCLYXTO""]";Sur demande de l'assureur maladie chez lequel la personne assurée était assurée lorsque Venclyxto lui a été délivré, AbbVie AG rembourse à cet assureur maladie 4.2% du prix de fabrique de chaque boîte de Venclyxto. Le remboursement ne s'applique pas aux boîtes utilisées dans l'indication vénétoclax + rituximab. La taxe sur la valeur ajoutée ne peut être récupérée en plus de cette partie du prix de fabrique.
1757;;unknown;;per_flacon;per_year;;years;"[{""type"": ""per_year"", ""value"": null, ""unit"": ""years"", ""match"": ""par année civile""}]";1;1;0;0;"[""ASSAN""]";Il informe l’assureur-maladie du nombre de flacons par patient et par année civile à partir duquel le titulaire de l’autorisation rembourse le prix ex-factory par flacon. La TVA ne peut pas être réclamée en plus de ce montant (basé sur les prix ex-factory). Le remboursement du nombre de flacons dépassant le nombre limite par année civile doit être effectué rétroactivement par année civile (date-butoir fixée au 31 décembre) et, si nécessaire, au prorata (première année de traitement, année d’arrêt du traitement).
1766;;percentage;5.0;unknown;after_months;6;months;"[{""type"": ""after_months"", ""value"": 6, ""unit"": ""months"", ""match"": ""après 6 mois""}, {""type"": ""after_weeks"", ""value"": 16, ""unit"": ""weeks"", ""match"": ""après 16 semaines""}, {""type"": ""during_weeks"", ""value"": 16, ""unit"": ""weeks"", ""match"": ""pendant 16 semaines""}]";3;0;0;0;"[""SAXENDA""]";Utilisation uniquement chez les personnes non diabétiques et chez les personnes diabétiques (DS de type 2) qui n'ont pas reçu de traitement préalable par agonistes du récepteur du GLP-1: • En complément d'un régime alimentaire avec un déficit de 500 kcal/jour, de conseils diététiques d'accompagnement et d'une activité physique renforcée et justifiée (par ex. podomètre) chez des patients motivés (sans opérations bariatriques subites et sans opérations planifiées ou prévues) pour la régulation pondérale chez les patients adultes présentant: o un IMC ≥ 35 kg/m<sup>2</sup> o un IMC ≥ 28 kg/m<sup>2</sup> en cas de comorbidités supplémentaires liées au poids (pré-diabète ou diabète sucré de type 2, hypertension artérielle, dyslipidémie). • Le traitement nécessite une garantie de prise en charge par l'assurance-maladie après consultation préalable du médecin-conseil. • Un régime alimentaire avec un déficit de 500 kcal/jour doit être respecté et documenté afin d’obtenir le remboursement de Saxenda, et ceci doit être confirmé vis-à-vis de l'assureur. • La prescription ne peut être délivrée que par un médecin spécialiste FMH en endocrinologie/diabétologie ainsi que par une sélection de médecins ayant de l'expérience dans le traitement de l'obésité. La liste correspondante des médecins ayant de l'expérience dans le traitement de l'obésité est disponible à l'adresse suivante: http://www.bag.admin.ch/sl-ref. • Le traitement doit être arrêté chez les patients dont l'IMC est ≥ 28 et < 35 et qui n'ont pas perdu au moins 5% de leur poids corporel initial après 16 semaines de traitement (4 semaines de titrage, 12 semaines de traitement à 3 mg/jour) et chez les patients dont l'IMC est ≥ 35 et qui n'ont pas perdu au moins 7% de leur poids corporel initial après 16 semaines de traitement (4 semaines de titrage, 12 semaines de traitement à 3 mg/jour) par rapport au début du traitement par Saxenda. Après 6 mois de plus, le traitement doit être arrêté si une réduction supplémentaire d'au moins 5% du poids obtenu après 16 semaines n'est pas atteinte. • Pour une thérapie consécutive au-delà de la phase initiale de traitement, une nouvelle garantie de prise en charge doit être obtenue. Les pertes de poids après 16 semaines et 6 mois doivent être justifiées. • Un contrôle d'efficacité doit ensuite être effectué impérativement tous les 6 mois. Si les critères de remboursement précités sont respectés, Saxenda peut être remboursé pour une durée maximale de 3 ans. En cas de reprise de poids de > 2% du poids après 6 mois de traitement, celui-ci doit être arrêté. Le traitement doit également être arrêté dès lors qu'un IMC < 25 est atteint. • Saxenda ne doit pas être combiné à d'autres agonistes du récepteur du GLP-1, à des gliptines, à des inhibiteurs du SGLT-2 ou à de l'insuline. Saxenda ne doit pas être combiné à d'autres médicaments (par ex. médicaments contenant de l'orlistat) pour la réduction du poids. • Les patients qui, lors d'une première utilisation de Saxenda pendant 16 semaines, n'atteignent pas une réduction de poids d'au moins 5% respectivement 7% de leur poids corporel initial (non-répondants) sont totalement exclus d'un remboursement en cas de reprise du traitement.
1771;Eli Lilly (Suisse) SA;chf_fixed;4.77;per_box;;;;;0;0;0;0;"[""TALTZ""]";Dans cette indication, Eli Lilly (Suisse) SA rembourse CHF 4.77 par emballage de 1 pièce de TALTZ ou CHF 9.54 par emballage de 2 pièces de TALTZ à l’assurance-maladie, auprès de laquelle la personne est assurée au moment de la réception du traitement, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1772;Eli Lilly (Suisse) SA;chf_fixed;133.99;per_box;;;;;0;0;0;0;"[""TALTZ""]";Eli Lilly (Suisse) SA rembourse CHF 133.99 par emballage de 1 pièce de TALTZ ou CHF 267.98 par emballage de 2 pièces de TALTZ à l’assurance-maladie auprès de laquelle la personne est assurée au moment de la réception du traitement pour la spondylarthrite ankylosante, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1774;Eli Lilly (Suisse) SA;chf_fixed;4.77;per_box;;;;;0;0;0;0;"[""TALTZ""]";Dans cette indication, Eli Lilly (Suisse) SA rembourse CHF 4.77 par emballage de 1 pièce de TALTZ ou CHF 9.54 par emballage de 2 pièces de TALTZ à l’assurance-maladie, auprès de laquelle la personne est assurée au moment de la réception du traitement, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1775;Eli Lilly (Suisse) SA;chf_fixed;133.99;per_box;;;;;0;0;0;0;"[""TALTZ""]";Eli Lilly (Suisse) SA rembourse CHF 133.99 par emballage de 1 pièce de TALTZ ou CHF 267.98 par emballage de 2 pièces de TALTZ à l’assurance-maladie auprès de laquelle la personne est assurée au moment de la réception du traitement pour la spondylarthrite ankylosante, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1788;AMGEN Switzerland AG;unknown;;unknown;greater_than;2;cycles;"[{""type"": ""greater_than"", ""value"": 2, ""unit"": ""cycles"", ""match"": ""> 2 cycles""}]";1;0;0;0;"[""BLINCYTO""]";Si BLINCYTO doit être utilisé > 2 cycles, le laboratoire AMGEN Switzerland AG rembourse, dans le cadre d’un traitement par BLINCYTO et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix de fabrique à partir du 52ème emballage de BLINCYTO. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l’administration du traitement.
1797;La société Vertex Pharmaceuticals (CH) GmbH;amount_unspecified;;per_box;;;;;0;0;0;0;"[""KALYDECO""]";La société Vertex Pharmaceuticals (CH) GmbH rembourse à l’assurance maladie chez laquelle la personne assurée était assurée au moment de la prise en charge, ou à l’AI, respectivement, sur demande une part définie du prix de fabrication pour chaque boîte de KALYDECO administrée. La demande du remboursement de la TVA sur ce montant n’est pas admissible.
1806;;percentage;50.0;unknown;min_months;3;months;"[{""type"": ""min_months"", ""value"": 3, ""unit"": ""months"", ""match"": ""au moins 3 mois""}, {""type"": ""from_nth"", ""value"": 6, ""unit"": ""months"", ""match"": ""des 6 mois""}, {""type"": ""within_first"", ""value"": 6, ""unit"": ""months"", ""match"": ""au cours des 6 mois""}]";3;0;0;0;"[""KEYTRUDA""]";1L NSCLC non-épidermoïde (en association à une chimiothérapie avec pémétrexed + sel de platine) chez des patients avec TPS < 50% KN189 (avec modèle de prix) KEYTRUDA, en association à une chimiothérapie avec pémétrexed et sel de platine, est indiqué dans le traitement de première ligne du cancer du poumon non à petites cellules (NSCLC) au stade métastatique, non-épidermoïde chez les adultes avec un TPS <50%, sans aberrations tumorales génomiques de type EGFR ou ALK, et - qui ont une espérance de vie d'au moins 3 mois ET - n’ont pas reçu de radiothérapie pulmonaire avec > 30 Gy au cours des 6 mois précédents. À l’arrivée de génériques, l’économicité exige que l’on utilise ces derniers. Avant l’arrivée de génériques, les principes suivants sont applicables: L’économicité en vue du remboursement est évaluée au cas par cas par l’assurance maladie. L’OFSP recommande que le montant remboursé pour le médicament original du pémétrexed s’élève à au moins 40% du prix de fabrique de l’original. Après admission de génériques du pémétrexed dans la LS, seule l’association de KEYTRUDA à des préparations de pémétrexed au prix de génériques répondra au critère d’économicité. Le code suivant doit être transmis à l’assurance maladie: KN189
1821;Eli Lilly (Suisse) SA;chf_fixed;36.05;per_box;;;;;0;0;0;0;"[""TALTZ""]";Eli Lilly (Suisse) SA rembourse CHF 36.05 par emballage de 1 pièce de TALTZ ou CHF 72.10 par emballage de 2 pièces de TALTZ à l’assurance-maladie, auprès de laquelle la personne est assurée au moment de la réception du traitement pour l’arthrite psoriasique, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1822;Eli Lilly (Suisse) SA;chf_fixed;133.99;per_box;;;;;0;0;0;0;"[""TALTZ""]";Eli Lilly (Suisse) SA rembourse CHF 133.99 par emballage de 1 pièce de TALTZ ou CHF 267.98 par emballage de 2 pièces de TALTZ à l’assurance-maladie auprès de laquelle la personne est assurée au moment de la réception du traitement pour la spondylarthrite ankylosante, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1824;Eli Lilly (Suisse) SA;chf_fixed;36.05;per_box;;;;;0;0;0;0;"[""TALTZ""]";Eli Lilly (Suisse) SA rembourse CHF 36.05 par emballage de 1 pièce de TALTZ ou CHF 72.10 par emballage de 2 pièces de TALTZ à l’assurance-maladie, auprès de laquelle la personne est assurée au moment de la réception du traitement pour l’arthrite psoriasique, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1825;Eli Lilly (Suisse) SA;chf_fixed;133.99;per_box;;;;;0;0;0;0;"[""TALTZ""]";Eli Lilly (Suisse) SA rembourse CHF 133.99 par emballage de 1 pièce de TALTZ ou CHF 267.98 par emballage de 2 pièces de TALTZ à l’assurance-maladie auprès de laquelle la personne est assurée au moment de la réception du traitement pour la spondylarthrite ankylosante, à la demande de l’assureur. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.
1855;Janssen-Cilag AG;cost_refund;;unknown;not_beyond;4;weeks;"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]";1;0;0;0;"[""DARZALEX""]";Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.
1856;Janssen-Cilag AG;amount_unspecified;;unknown;;;;;0;0;0;0;;Dans cette indication, Janssen-Cilag AG remboursera un montant fixe du prix de fabrique du traitement à la demande de l'assureur-maladie auprès duquel le patient était assuré au moment de l’administration du traitement. La TVA ne peut pas être réclamée en sus de ce montant du prix de fabrique.
1857;Janssen-Cilag AG;cost_refund;;unknown;not_beyond;4;weeks;"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]";1;0;0;0;"[""DARZALEX""]";Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.
1858;Janssen-Cilag AG;amount_unspecified;;unknown;;;;;0;0;0;0;;Dans cette indication, Janssen-Cilag AG remboursera un montant fixe du prix de fabrique du traitement à la demande de l'assureur-maladie auprès duquel le patient était assuré au moment de l’administration du traitement. La TVA ne peut pas être réclamée en sus de ce montant du prix de fabrique.
1863;La société Vertex Pharmaceuticals (CH) GmbH;amount_unspecified;;per_box;;;;;0;0;0;0;"[""KALYDECO""]";La société Vertex Pharmaceuticals (CH) GmbH rembourse à l’assurance maladie chez laquelle la personne assurée était assurée au moment de la prise en charge, ou à l’AI, respectivement, sur demande une part définie du prix de fabrication pour chaque boîte de KALYDECO administrée. La demande du remboursement de la TVA sur ce montant n’est pas admissible.
